Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
ACCOUNT EXECUTIVE MEDIUM ENTERPRISE,91624,NEW YORK NY,NY,03/27/2018,03,2018,06/18/2018,06,2018
ACCOUNT EXECUTIVE MEDIUM ENTERPRISE,120000,NEW YORK NY,NY,08/15/2016,08,2016,08/22/2016,08,2016
ADVANCED LEVEL R&D SCIENTIST,93621,SANTA CLARA CA,CA,02/01/2018,02,2018,08/01/2018,08,2018
APPLICATION DEVELOPER,98000,PLEASANTON CA,CA,01/07/2015,01,2015,02/13/2015,02,2015
APPLICATION DEVELOPER,105000,PLEASANTON CA,CA,10/18/2013,10,2013,11/11/2013,11,2013
APPLICATION DEVELOPER,115000,PLEASANTON CA,CA,01/28/2014,01,2014,02/10/2014,02,2014
APPLICATION DEVELOPER,115000,PLEASANTON CA,CA,02/27/2014,02,2014,03/17/2014,03,2014
APPLICATION SECURITY ARCHITECT,160000,PLEASANTON CA,CA,06/18/2015,06,2015,06/29/2015,06,2015
APPLICATION SECURITY ARCHITECT,160000,PLEASANTON CA,CA,06/24/2015,06,2015,12/10/2015,12,2015
ART DIRECTOR,96000,SAN FRANCISCO CA,CA,04/21/2014,04,2014,05/12/2014,05,2014
ASSOCIATE DATA SCIENTIST,105000,PLEASANTON CA,CA,03/15/2016,03,2016,09/08/2016,09,2016
ASSOCIATE DATA SCIENTIST,105000,SAN FRANCISCO CA,CA,03/15/2016,03,2016,09/10/2016,09,2016
ASSOCIATE MANAGER APPLICATION DEVELOPMENT,116975,PLEASANTON CA,CA,03/13/2017,03,2017,03/27/2017,03,2017
ASSOCIATE SOFTWARE DEVELOPMENT ENGINEER,90000,PLEASANTON CA,CA,03/04/2016,03,2016,08/17/2016,08,2016
ASSOCIATE SOFTWARE DEVELOPMENT ENGINEER,95000,PLEASANTON CA,CA,03/13/2014,03,2014,09/11/2014,09,2014
AUTOMATION ARCHITECT,145000,PLEASANTON CA,CA,03/28/2016,03,2016,04/11/2016,04,2016
AUTOMATION ARCHITECT ENGINEER,147181,PLEASANTON CA,CA,07/17/2018,07,2018,07/23/2018,07,2018
AUTOMATION ENGINEER,65582,PLEASANTON CA,CA,01/31/2017,01,2017,02/27/2017,02,2017
AUTOMATION ENGINEER,87339,PLEASANTON CA,CA,07/14/2017,07,2017,07/31/2017,07,2017
AUTOMATION ENGINEER,103064,PLEASANTON CA,CA,08/10/2018,08,2018,08/15/2018,08,2018
AUTOMATION ENGINEER,107266,PLEASANTON CA,CA,06/27/2017,06,2017,12/26/2017,12,2017
AUTOMATION ENGINEER,109325,PLEASANTON CA,CA,01/31/2018,01,2018,02/06/2018,02,2018
AUTOMATION ENGINEER,109325,PLEASANTON CA,CA,03/12/2018,03,2018,03/19/2018,03,2018
AUTOMATION ENGINEER,109325,PLEASANTON CA,CA,12/27/2017,12,2017,01/15/2018,01,2018
AUTOMATION ENGINEER,109325,PLEASANTON CA,CA,06/28/2018,06,2018,07/05/2018,07,2018
BUSINESS ANALYST,79934,PLEASANTON CA,CA,11/15/2017,11,2017,11/21/2017,11,2017
BUSINESS ANALYST - PAYROLL,95000,PLEASANTON CA,CA,05/23/2014,05,2014,06/09/2014,06,2014
CHIEF TECHNOLOGY OFFICER - ASIA PACIFIC,186722,PLEASANTON CA,CA,12/13/2016,12,2016,01/23/2017,01,2017
CHIEF TECHNOLOGY OFFICER - ASIA PACIFIC,200000,PLEASANTON CA,CA,11/18/2016,11,2016,11/28/2016,11,2016
CONFIGURATION ENGINEER,108576,PLEASANTON CA,CA,03/28/2018,03,2018,05/01/2018,05,2018
CTO ASIA PACIFIC,200000,PLEASANTON CA,CA,02/10/2015,02,2015,02/20/2015,02,2015
CUSTOMER ENABLEMENT CONSULTANT - OFFICE HOURS,77085,PLEASANTON CA,CA,03/15/2017,03,2017,09/11/2017,09,2017
DATA SCIENTIST,118061,SAN FRANCISCO CA CA,CA,03/05/2015,03,2015,08/25/2015,08,2015
DATA SCIENTIST,120000,SAN FRANCISCO CA,CA,10/22/2015,10,2015,11/02/2015,11,2015
DATA SCIENTIST,125000,PLEASANTON CA,CA,03/17/2016,03,2016,09/10/2016,09,2016
DATA SERVICES ARCHITECT SR PRINCIPAL SOFTWARE EN,190000,PLEASANTON CA,CA,08/08/2014,08,2014,08/25/2014,08,2014
DEEP LEARNING ENGINEER,78104,PLEASANTON CA,CA,01/19/2017,01,2017,02/27/2017,02,2017
DEEP LEARNING ENGINEER,121077,SAN FRANCISCO CA,CA,09/20/2018,09,2018,10/01/2018,10,2018
DEVELOPER,109325,PLEASANTON CA,CA,09/28/2017,09,2017,10/13/2017,10,2017
DEVELOPER - TEST AUTOMATION,115000,PLEASANTON CA,CA,01/29/2015,01,2015,07/25/2015,07,2015
DEVELOPMENT OPERATIONS ENGINEER,122949,PLEASANTON CA,CA,06/07/2017,06,2017,07/05/2017,07,2017
DEVELOPMENT OPERATIONS ENGINEER,130000,PLEASANTON CA,CA,07/27/2016,07,2016,08/08/2016,08,2016
DEVOPS ENGINEER,108576,PLEASANTON CA,CA,12/15/2017,12,2017,01/08/2018,01,2018
DEVOPS ENGINEER,121000,PLEASANTON CA,CA,11/01/2018,11,2018,01/14/2019,01,2019
DIGITAL INTELLIGENCE ENGINEER,103064,PLEASANTON CA,CA,07/03/2018,07,2018,07/16/2018,07,2018
DIRECTOR DATA STRATEGY AND ANALYTICS,190715,PLEASANTON CA,CA,05/07/2015,05,2015,05/18/2015,05,2015
DIRECTOR MARKETING DATA STRATEGY AND ANALYTICS,166234,PLEASANTON CA,CA,06/12/2017,06,2017,12/09/2017,12,2017
ENGAGEMENT MANAGER,119600,PLEASANTON CA,CA,03/05/2018,03,2018,08/28/2018,08,2018
ENGINEERING MANAGER,165000,PLEASANTON CA,CA,02/27/2014,02,2014,03/17/2014,03,2014
HCM CONSULTANT,69377,PLEASANTON CA,CA,03/13/2014,03,2014,09/11/2014,09,2014
HCM QUALITY ASSURANCE ENGINEER,116658,PLEASANTON CA,CA,11/07/2016,11,2016,04/15/2017,04,2017
INDUSTRY LEAD DIRECTOR PRINCIPAL SALES TECHNOLOGIST,162503,PLEASANTON CA,CA,03/14/2018,03,2018,09/05/2018,09,2018
INDUSTRY LEAD DIRECTOR PRINCIPAL SALES TECHNOLOGIST,162503,PLEASANTON CA,CA,03/20/2018,03,2018,09/18/2018,09,2018
INFORMATION SECURITY RISK PROGRAM MANAGER,125000,PLEASANTON CA,CA,03/21/2016,03,2016,03/28/2016,03,2016
INFRASTRUCTURE ENGINEER,120806,PLEASANTON CA,CA,03/02/2017,03,2017,08/23/2017,08,2017
INTEGRATION DEVELOPER,86424,PLEASANTON CA,CA,03/02/2017,03,2017,03/15/2017,03,2017
INTEGRATION ENGINEER,130000,PLEASANTON CA,CA,07/17/2015,07,2015,07/27/2015,07,2015
IT ENDPOINT SECURITY ENGINEER,91728,PLEASANTON CA,CA,10/21/2016,10,2016,03/20/2017,03,2017
IT ENDPOINT SECURITY ENGINEER,101483,PLEASANTON CA,CA,04/02/2018,04,2018,09/26/2018,09,2018
IT SECURITY ENGINEER,112000,PLEASANTON CA,CA,05/13/2015,05,2015,05/21/2015,05,2015
LEAD DEVELOPER,123780,PLEASANTON CA,CA,06/29/2015,06,2015,09/16/2015,09,2015
MANAGER HCM PERFORMANCE PRODUCT MANAGEMENT,140760,PLEASANTON CA,CA,03/10/2016,03,2016,09/06/2016,09,2016
MANAGER OF SOFTWARE DEVELOPMENT APPLICATIONS,133494,PLEASANTON CA,CA,11/09/2017,11,2017,11/22/2017,11,2017
MANAGER DECISION SCIENCE,155000,PLEASANTON CA,CA,10/29/2015,10,2015,11/09/2015,11,2015
MANAGER ENTERPRISE APPLICATIONS,150615,PLEASANTON CA,CA,11/13/2018,11,2018,11/19/2018,11,2018
MANAGER PRODUCT MANAGEMENT,129501,PLEASANTON CA,CA,04/14/2017,04,2017,04/25/2017,04,2017
MANAGER SECURITY ENGINEERING,175000,PLEASANTON CA,CA,05/27/2016,05,2016,06/06/2016,06,2016
MANAGER SERVICE TRAINING,132210,PLEASANTON CA,CA,01/28/2016,01,2016,02/08/2016,02,2016
MANAGER SOFTWARE APPLICATION DEVELOPMENT,133494,PLEASANTON CA,CA,12/12/2017,12,2017,12/18/2017,12,2017
MANAGER SOFTWARE APPLICATION DEVELOPMENT,157659,PLEASANTON CA,CA,10/16/2018,10,2018,11/01/2018,11,2018
MANAGER SOFTWARE APPLICATION DEVELOPMENT,160000,PLEASANTON CA,CA,07/08/2016,07,2016,07/15/2016,07,2016
MANAGER SOFTWARE DEVELOPMENT APPLICATION,133494,PLEASANTON CA,CA,11/29/2017,11,2017,12/06/2017,12,2017
MANAGER SOFTWARE DEVELOPMENT APPLICATION,133494,PLEASANTON CA,CA,01/12/2018,01,2018,01/22/2018,01,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,129501,PLEASANTON CA,CA,12/13/2016,12,2016,12/26/2016,12,2016
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,138840,PLEASANTON CA,CA,07/26/2018,07,2018,08/02/2018,08,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,152000,PLEASANTON CA,CA,08/22/2018,08,2018,08/28/2018,08,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,152000,PLEASANTON CA,CA,09/17/2018,09,2018,09/24/2018,09,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,157659,PLEASANTON CA,CA,11/01/2018,11,2018,11/12/2018,11,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,157659,PLEASANTON CA,CA,11/07/2018,11,2018,11/12/2018,11,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,157659,PLEASANTON CA,CA,11/13/2018,11,2018,11/19/2018,11,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,164944,PLEASANTON CA,CA,10/27/2017,10,2017,11/10/2017,11,2017
MANAGER SOFTWARE ENGINEERING,129501,PLEASANTON CA,CA,03/16/2017,03,2017,03/29/2017,03,2017
MANAGER SW DEVELOPMENT ENGINEERING,164944,PLEASANTON CA,CA,02/02/2018,02,2018,02/09/2018,02,2018
MANAGER TECHNICAL WRITING,98758,PLEASANTON CA,CA,05/29/2018,05,2018,06/06/2018,06,2018
MARKETING TECHNOLOGY BUSINESS LEAD,169520,PLEASANTON CA,CA,11/30/2017,11,2017,12/11/2017,12,2017
MOBILE QUALITY ASSURANCE ENGINEER,87339,PLEASANTON CA,CA,09/21/2017,09,2017,10/16/2017,10,2017
MOBILE QUALITY ASSURANCE ENGINEER,109325,PLEASANTON CA,CA,06/28/2018,06,2018,07/05/2018,07,2018
NETWORK ENGINEER,115000,PLEASANTON CA,CA,11/22/2013,11,2013,12/09/2013,12,2013
OPERATIONS ADMINISTRATOR,105000,PLEASANTON CA,CA,09/17/2014,09,2014,09/25/2014,09,2014
PERFORMANCE ENGINEER,93163,PLEASANTON CA,CA,03/10/2015,03,2015,08/31/2015,08,2015
PERFORMANCE ENGINEER,105000,PLEASANTON CA,CA,03/18/2014,03,2014,04/01/2014,04,2014
PERFORMANCE ENGINEER,109325,PLEASANTON CA,CA,05/23/2018,05,2018,05/29/2018,05,2018
PERFORMANCE ENGINEER,111176,PLEASANTON CA,CA,10/03/2016,10,2016,12/19/2016,12,2016
PERFORMANCE ENGINEER,111176,PLEASANTON CA,CA,01/19/2017,01,2017,02/13/2017,02,2017
PERFORMANCE ENGINEER,111176,PLEASANTON CA,CA,06/01/2017,06,2017,10/05/2017,10,2017
PERFORMANCE ENGINEER,115000,PLEASANTON CA,CA,04/06/2015,04,2015,04/13/2015,04,2015
PERFORMANCE ENGINEER,116975,PLEASANTON CA,CA,08/22/2016,08,2016,08/29/2016,08,2016
PERFORMANCE ENGINEER,130000,PLEASANTON CA,CA,06/30/2015,06,2015,07/07/2015,07,2015
PRINCIPAL DEVELOPMENT OPERATIONS ENGINEER,153774,SAN FRANCISCO CA,CA,08/09/2017,08,2017,09/18/2017,09,2017
PRINCIPAL ENGINEER - INTEGRATIONS,139000,PLEASANTON CA,CA,04/08/2014,04,2014,10/01/2014,10,2014
PRINCIPAL ENGINEER INTEGRATIONS,139000,PLEASANTON CA,CA,04/01/2014,04,2014,04/14/2014,04,2014
PRINCIPAL INTEGRATION CONSULTANT,119600,PLEASANTON CA,CA,03/05/2018,03,2018,08/28/2018,08,2018
PRINCIPAL QUALITY ASSURANCE ENGINEER,127150,SAN MATEO CA,CA,12/13/2016,12,2016,12/19/2016,12,2016
PRINCIPAL SECURITY DATA SCIENCE ENGINEER,128170,PLEASANTON CA,CA,12/11/2017,12,2017,12/18/2017,12,2017
PRINCIPAL SECURITY ENGINEER,147181,PLEASANTON CA,CA,07/27/2018,07,2018,12/10/2018,12,2018
PRINCIPAL SECURITY ENGINEER,152984,PLEASANTON CA,CA,06/28/2018,06,2018,12/19/2018,12,2018
PRINCIPAL SOFTWARE APPLICATION ENGINEER,109325,PLEASANTON CA,CA,06/04/2018,06,2018,11/30/2018,11,2018
PRINCIPAL SOFTWARE DEVELOPMENT ENGINEER,131165,PLEASANTON CA,CA,05/11/2018,05,2018,05/18/2018,05,2018
PRINCIPAL SOFTWARE DEVELOPMENT ENGINEER,136573,SAN FRANCISCO CA,CA,07/22/2016,07,2016,10/08/2016,10,2016
PRINCIPAL SOFTWARE DEVELOPMENT ENGINEER,142168,SAN MATEO CA,CA,09/21/2017,09,2017,11/15/2017,11,2017
PRINCIPAL SOFTWARE DEVELOPMENT ENGINEER,152984,PLEASANTON CA,CA,05/25/2018,05,2018,10/24/2018,10,2018
PRINCIPAL SOFTWARE DEVELOPMENT ENGINEER,163100,PLEASANTON CA,CA,11/01/2018,11,2018,02/04/2019,02,2019
PRINCIPAL SOFTWARE DEVELOPMENT ENGINEER,180000,PLEASANTON CA,CA,05/16/2016,05,2016,10/01/2016,10,2016
PRINCIPAL SOFTWARE ENGINEER,136573,SAN MATEO CA,CA,02/07/2017,02,2017,03/13/2017,03,2017
PRINCIPAL SOFTWARE ENGINEER,162000,SAN FRANCISCO CA,CA,03/04/2016,03,2016,03/14/2016,03,2016
PRINCIPAL SOFTWARE ENGINEER,180000,PLEASANTON CA,CA,06/01/2015,06,2015,06/09/2015,06,2015
PRODUCT AREA LEADER,184683,PLEASANTON CA,CA,05/05/2015,05,2015,10/26/2015,10,2015
PRODUCT DESIGNER,102981,SAN MATEO CA,CA,01/13/2017,01,2017,01/26/2017,01,2017
PRODUCT MANAGER,90000,PLEASANTON CA,CA,02/06/2015,02,2015,02/20/2015,02,2015
PRODUCT MANAGER,98987,SAN FRANCISCO CA,CA,05/23/2017,05,2017,06/19/2017,06,2017
PRODUCT MANAGER,101483,PLEASANTON CA,CA,08/04/2017,08,2017,02/02/2018,02,2018
PRODUCT MANAGER,102669,SAN FRANCISCO CA,CA,03/08/2018,03,2018,03/15/2018,03,2018
PRODUCT MANAGER,103834,PLEASANTON CA,CA,02/28/2018,02,2018,08/27/2018,08,2018
PRODUCT MANAGER,110600,PLEASANTON CA,CA,08/29/2018,08,2018,09/05/2018,09,2018
PRODUCT MANAGER,111176,PLEASANTON CA,CA,03/17/2017,03,2017,03/31/2017,03,2017
PRODUCT MANAGER,120600,PLEASANTON CA,CA,10/09/2018,10,2018,02/13/2019,02,2019
PRODUCT MANAGER,130000,PLEASANTON CA,CA,04/08/2016,04,2016,04/18/2016,04,2016
PRODUCT MANAGER,132000,PLEASANTON CA,CA,06/30/2015,06,2015,11/05/2015,11,2015
PRODUCT MANAGER,133245,PLEASANTON CA,CA,09/15/2017,09,2017,10/02/2017,10,2017
PRODUCT MANAGER,150000,PLEASANTON CA,CA,02/04/2016,02,2016,02/08/2016,02,2016
PRODUCT MANAGER CASH,96366,PLEASANTON CA,CA,09/15/2016,09,2016,09/22/2016,09,2016
PRODUCT MANAGER CASH,103834,PLEASANTON CA,CA,02/05/2018,02,2018,02/17/2018,02,2018
PRODUCT MANAGER TAX,145000,PLEASANTON CA,CA,09/02/2016,09,2016,09/12/2016,09,2016
PRODUCT MARKETING MANAGER,109678,PLEASANTON CA,CA,01/11/2017,01,2017,07/01/2017,07,2017
PRODUCT MARKETING MANAGER - TIME TRACKING,120000,PLEASANTON CA,CA,06/18/2014,06,2014,07/01/2014,07,2014
PRODUCTION SUPPORT ENGINEER,110000,PLEASANTON CA,CA,04/23/2015,04,2015,05/04/2015,05,2015
QA ENGINEER,102003,PLEASANTON CA,CA,06/16/2017,06,2017,11/03/2017,11,2017
QA ENGINEER,103064,PLEASANTON CA,CA,07/12/2018,07,2018,12/11/2018,12,2018
QA ENGINEER,106454,SAN MATEO CA,CA,01/06/2017,01,2017,01/19/2017,01,2017
QA ENGINEER,120000,PLEASANTON CA,CA,03/18/2016,03,2016,03/28/2016,03,2016
QA MANAGER,125445,PLEASANTON CA,CA,10/20/2015,10,2015,10/26/2015,10,2015
QUALITY ASSURANCE ENGINEER,86424,PLEASANTON CA,CA,07/27/2016,07,2016,08/15/2016,08,2016
QUALITY ASSURANCE ENGINEER,99029,PLEASANTON CA,CA,04/07/2015,04,2015,08/15/2015,08,2015
QUALITY ASSURANCE ENGINEER,100000,PLEASANTON CA,CA,12/20/2013,12,2013,01/06/2014,01,2014
QUALITY ASSURANCE ENGINEER,100000,PLEASANTON CA,CA,04/02/2014,04,2014,04/14/2014,04,2014
QUALITY ASSURANCE ENGINEER,102697,PLEASANTON CA,CA,12/23/2015,12,2015,05/25/2016,05,2016
QUALITY ASSURANCE ENGINEER,105000,PLEASANTON CA,CA,03/13/2015,03,2015,03/23/2015,03,2015
QUALITY ASSURANCE ENGINEER,105564,PLEASANTON CA,CA,07/27/2016,07,2016,12/02/2016,12,2016
QUALITY ASSURANCE ENGINEER,105973,PLEASANTON CA,CA,12/30/2016,12,2016,05/26/2017,05,2017
QUALITY ASSURANCE ENGINEER,109325,PLEASANTON CA,CA,04/30/2018,04,2018,07/20/2018,07,2018
QUALITY ASSURANCE ENGINEER,109325,PLEASANTON CA,CA,03/05/2018,03,2018,08/28/2018,08,2018
QUALITY ASSURANCE ENGINEER,110000,PLEASANTON CA,CA,05/13/2014,05,2014,05/26/2014,05,2014
QUALITY ASSURANCE ENGINEER,118431,PLEASANTON CA,CA,09/27/2016,09,2016,01/06/2017,01,2017
QUALITY ASSURANCE ENGINEER - FINANCIALS,87714,PLEASANTON CA,CA,08/22/2018,08,2018,08/28/2018,08,2018
QUALITY ASSURANCE ENGINEER BUSINESS INTELLIGENCE,105000,PLEASANTON CA,CA,04/10/2014,04,2014,04/28/2014,04,2014
QUALITY ENGINEER - SECURITY & AUTHENTICATION,105000,PLEASANTON CA,CA,07/29/2014,07,2014,08/11/2014,08,2014
QUALITY ENGINEER - UI TOOLS,100000,PLEASANTON CA,CA,10/23/2014,10,2014,11/03/2014,11,2014
RECRUITING PRODUCT MANAGER,135637,PLEASANTON CA,CA,02/25/2015,02,2015,08/25/2015,08,2015
SALES & MARKETING BUSINESS INTELLIGENCE PRODUCT MANAGER,88629,PLEASANTON CA,CA,05/05/2017,05,2017,06/05/2017,06,2017
SALESFORCE ADMINISTRATOR,119600,PLEASANTON CA,CA,05/16/2018,05,2018,05/23/2018,05,2018
SALESFORCE DEVELOPER,109325,PLEASANTON CA,CA,04/03/2018,04,2018,04/10/2018,04,2018
SALESFORCE DEVELOPER,109325,PLEASANTON CA,CA,12/04/2017,12,2017,05/21/2018,05,2018
SALESFORCE DEVELOPER,109325,PLEASANTON CA,CA,08/02/2017,08,2017,09/11/2017,09,2017
SALESFORCE DEVELOPER,109325,PLEASANTON CA,CA,09/21/2017,09,2017,10/16/2017,10,2017
SALESFORCE DEVELOPER,122757,PLEASANTON CA,CA,11/17/2015,11,2015,03/12/2016,03,2016
SALESFORCE DEVELOPER,125000,PLEASANTON CA,CA,05/13/2015,05,2015,05/21/2015,05,2015
SECURITY ENGINEER,114837,PLEASANTON CA,CA,01/31/2018,01,2018,08/01/2018,08,2018
SECURITY ENGINEER,114837,PLEASANTON CA,CA,02/14/2018,02,2018,07/20/2018,07,2018
SECURITY ENGINEER,115000,PLEASANTON CA,CA,07/06/2015,07,2015,07/20/2015,07,2015
SECURITY ENGINEER,115898,PLEASANTON CA,CA,03/13/2017,03,2017,03/27/2017,03,2017
SECURITY OPERATIONS ANALYST,100000,PLEASANTON CA,CA,01/21/2016,01,2016,02/01/2016,02,2016
SEGMENT LEADER TECHNOLOGY,169458,PLEASANTON CA,CA,03/10/2015,03,2015,09/03/2015,09,2015
SENIOR APPLICATION DEVELOPER,125000,PLEASANTON CA,CA,02/05/2014,02,2014,02/21/2014,02,2014
SENIOR ASSOCIATE DATA SCIENTIST,110000,PLEASANTON CA,CA,03/17/2016,03,2016,09/06/2016,09,2016
SENIOR ASSOCIATE PRODUCT ENGINEER,115000,PLEASANTON CA,CA,03/25/2015,03,2015,03/31/2015,03,2015
SENIOR ASSOCIATE PRODUCT MANAGER,81598,PLEASANTON CA,CA,09/15/2017,09,2017,03/16/2018,03,2018
SENIOR ASSOCIATE PRODUCT MANAGER,97600,PLEASANTON CA,CA,02/18/2016,02,2016,03/02/2016,03,2016
