Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
SOFTWARE APPLICATION ENGINEER,113286,PLEASANTON CA,CA,07/22/2016,07,2016,09/21/2016,09,2016
SOFTWARE APPLICATION ENGINEER,115000,PLEASANTON CA,CA,12/22/2015,12,2015,01/04/2016,01,2016
SOFTWARE APPLICATION ENGINEER,115000,PLEASANTON CA,CA,02/25/2016,02,2016,03/07/2016,03,2016
SOFTWARE APPLICATION ENGINEER,115000,PLEASANTON CA,CA,04/04/2016,04,2016,04/11/2016,04,2016
SOFTWARE APPLICATION ENGINEER,115000,PLEASANTON CA,CA,04/08/2016,04,2016,04/18/2016,04,2016
SOFTWARE APPLICATION ENGINEER,115000,PLEASANTON CA,CA,04/25/2016,04,2016,05/02/2016,05,2016
SOFTWARE APPLICATION ENGINEER,115000,PLEASANTON CA,CA,06/03/2016,06,2016,06/13/2016,06,2016
SOFTWARE APPLICATION ENGINEER,115000,PLEASANTON CA,CA,03/23/2015,03,2015,03/31/2015,03,2015
SOFTWARE APPLICATION ENGINEER,115000,PLEASANTON CA,CA,04/29/2015,04,2015,05/11/2015,05,2015
SOFTWARE APPLICATION ENGINEER,115400,PLEASANTON CA,CA,10/19/2018,10,2018,03/14/2019,03,2019
SOFTWARE APPLICATION ENGINEER,116975,PLEASANTON CA,CA,10/21/2016,10,2016,04/15/2017,04,2017
SOFTWARE APPLICATION ENGINEER,116975,PLEASANTON CA,CA,01/13/2017,01,2017,03/17/2017,03,2017
SOFTWARE APPLICATION ENGINEER,116975,PLEASANTON CA,CA,03/17/2017,03,2017,08/01/2017,08,2017
SOFTWARE APPLICATION ENGINEER,116975,PLEASANTON CA,CA,04/18/2017,04,2017,06/05/2017,06,2017
SOFTWARE APPLICATION ENGINEER,116975,PLEASANTON CA,CA,06/19/2017,06,2017,11/19/2017,11,2017
SOFTWARE APPLICATION ENGINEER,117495,PLEASANTON CA,CA,06/15/2015,06,2015,06/22/2015,06,2015
SOFTWARE APPLICATION ENGINEER,118262,PLEASANTON CA,CA,09/12/2017,09,2017,03/13/2018,03,2018
SOFTWARE APPLICATION ENGINEER,119500,PLEASANTON CA,CA,10/16/2017,10,2017,10/23/2017,10,2017
SOFTWARE APPLICATION ENGINEER,120000,PLEASANTON CA,CA,10/02/2015,10,2015,10/12/2015,10,2015
SOFTWARE APPLICATION ENGINEER,120000,PLEASANTON CA,CA,06/01/2016,06,2016,06/13/2016,06,2016
SOFTWARE APPLICATION ENGINEER,120000,PLEASANTON CA,CA,11/13/2014,11,2014,11/19/2014,11,2014
SOFTWARE APPLICATION ENGINEER,120000,PLEASANTON CA,CA,08/25/2015,08,2015,08/26/2015,08,2015
SOFTWARE APPLICATION ENGINEER,122500,PLEASANTON CA,CA,02/17/2016,02,2016,02/22/2016,02,2016
SOFTWARE APPLICATION ENGINEER,125000,PLEASANTON CA,CA,10/16/2015,10,2015,10/26/2015,10,2015
SOFTWARE APPLICATION ENGINEER,125000,PLEASANTON CA,CA,04/06/2016,04,2016,04/18/2016,04,2016
SOFTWARE APPLICATION ENGINEER,125000,PLEASANTON CA,CA,03/23/2015,03,2015,03/31/2015,03,2015
SOFTWARE APPLICATION ENGINEER,125000,PLEASANTON CA,CA,09/17/2014,09,2014,09/25/2014,09,2014
SOFTWARE APPLICATION ENGINEER,135000,PLEASANTON CA,CA,12/22/2015,12,2015,12/28/2015,12,2015
SOFTWARE APPLICATION ENGINEER,135000,PLEASANTON CA,CA,03/28/2016,03,2016,04/04/2016,04,2016
SOFTWARE APPLICATION ENGINEER,135000,PLEASANTON CA,CA,06/09/2015,06,2015,06/22/2015,06,2015
SOFTWARE APPLICATION ENGINEER,160000,SAN FRANCISCO CA,CA,04/18/2014,04,2014,05/01/2014,05,2014
SOFTWARE APPLICATION ENGINEER - FINANCIALS,130000,PLEASANTON CA,CA,11/18/2014,11,2014,11/25/2014,11,2014
SOFTWARE APPLICATION ENGINEER PAYROLL,145000,PLEASANTON CA,CA,02/09/2016,02,2016,02/22/2016,02,2016
SOFTWARE DEVELOPER,130000,PLEASANTON CA,CA,07/20/2016,07,2016,08/01/2016,08,2016
SOFTWARE DEVELOPER,140000,PLEASANTON CA,CA,12/23/2014,12,2014,01/05/2015,01,2015
SOFTWARE DEVELOPMENT  ENGINEER,103168,PLEASANTON CA,CA,05/01/2017,05,2017,06/05/2017,06,2017
SOFTWARE DEVELOPMENT ENGINEER,80870,PLEASANTON CA,CA,03/08/2017,03,2017,09/03/2017,09,2017
SOFTWARE DEVELOPMENT ENGINEER,96138,SAN MATEO CA,CA,03/13/2017,03,2017,04/07/2017,04,2017
SOFTWARE DEVELOPMENT ENGINEER,102003,PLEASANTON CA,CA,02/09/2017,02,2017,08/11/2017,08,2017
SOFTWARE DEVELOPMENT ENGINEER,102669,SAN MATEO CA,CA,03/05/2018,03,2018,08/28/2018,08,2018
SOFTWARE DEVELOPMENT ENGINEER,102669,SAN MATEO CA,CA,03/08/2018,03,2018,09/06/2018,09,2018
SOFTWARE DEVELOPMENT ENGINEER,102669,SAN FRANCISCO CA,CA,11/13/2017,11,2017,11/15/2017,11,2017
SOFTWARE DEVELOPMENT ENGINEER,102669,SAN FRANCISCO CA,CA,03/05/2018,03,2018,08/28/2018,08,2018
SOFTWARE DEVELOPMENT ENGINEER,102669,SAN MATEO CA,CA,02/02/2018,02,2018,03/23/2018,03,2018
SOFTWARE DEVELOPMENT ENGINEER,103064,PLEASANTON CA,CA,07/11/2018,07,2018,07/17/2018,07,2018
SOFTWARE DEVELOPMENT ENGINEER,103064,PLEASANTON CA,CA,08/13/2018,08,2018,08/17/2018,08,2018
SOFTWARE DEVELOPMENT ENGINEER,104000,PLEASANTON CA,CA,03/15/2016,03,2016,09/08/2016,09,2016
SOFTWARE DEVELOPMENT ENGINEER,105800,PLEASANTON CA,CA,08/29/2018,08,2018,09/05/2018,09,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,06/18/2018,06,2018,06/25/2018,06,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,06/20/2018,06,2018,06/27/2018,06,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,02/22/2018,02,2018,02/28/2018,02,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,03/07/2018,03,2018,09/06/2018,09,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,01/26/2018,01,2018,07/27/2018,07,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,05/23/2018,05,2018,05/30/2018,05,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,03/12/2018,03,2018,09/01/2018,09,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,06/28/2018,06,2018,07/03/2018,07,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,09/19/2017,09,2017,03/20/2018,03,2018
SOFTWARE DEVELOPMENT ENGINEER,109325,PLEASANTON CA,CA,09/19/2017,09,2017,10/09/2017,10,2017
SOFTWARE DEVELOPMENT ENGINEER,110588,PLEASANTON CA,CA,09/17/2015,09,2015,01/21/2016,01,2016
SOFTWARE DEVELOPMENT ENGINEER,112000,SAN FRANCISCO CA,CA,03/19/2014,03,2014,09/16/2014,09,2014
SOFTWARE DEVELOPMENT ENGINEER,113381,SAN MATEO CA,CA,01/10/2017,01,2017,01/23/2017,01,2017
SOFTWARE DEVELOPMENT ENGINEER,113381,SAN MATEO CA,CA,03/08/2017,03,2017,09/03/2017,09,2017
SOFTWARE DEVELOPMENT ENGINEER,115400,PLEASANTON CA,CA,11/08/2018,11,2018,01/21/2019,01,2019
SOFTWARE DEVELOPMENT ENGINEER,115400,PLEASANTON CA,CA,09/21/2018,09,2018,10/15/2018,10,2018
SOFTWARE DEVELOPMENT ENGINEER,116975,PLEASANTON CA,CA,06/27/2017,06,2017,07/31/2017,07,2017
SOFTWARE DEVELOPMENT ENGINEER,116975,PLEASANTON CA,CA,07/31/2017,07,2017,01/05/2018,01,2018
SOFTWARE DEVELOPMENT ENGINEER,116975,PLEASANTON CA,CA,09/21/2016,09,2016,01/20/2017,01,2017
SOFTWARE DEVELOPMENT ENGINEER,120000,PLEASANTON CA,CA,04/13/2016,04,2016,04/18/2016,04,2016
SOFTWARE DEVELOPMENT ENGINEER,121077,SAN MATEO CA,CA,09/17/2018,09,2018,01/07/2019,01,2019
SOFTWARE DEVELOPMENT ENGINEER,122949,PLEASANTON CA,CA,01/13/2017,01,2017,04/21/2017,04,2017
SOFTWARE DEVELOPMENT ENGINEER,125000,PLEASANTON CA,CA,04/08/2016,04,2016,04/18/2016,04,2016
SOFTWARE DEVELOPMENT ENGINEER,126630,PLEASANTON CA,CA,03/18/2015,03,2015,03/23/2015,03,2015
SOFTWARE DEVELOPMENT ENGINEER,130000,PLEASANTON CA,CA,04/25/2016,04,2016,05/02/2016,05,2016
SOFTWARE DEVELOPMENT ENGINEER,130603,SAN MATEO CA,CA,12/15/2016,12,2016,12/23/2016,12,2016
SOFTWARE DEVELOPMENT ENGINEER,135000,PLEASANTON CA,CA,02/05/2016,02,2016,02/15/2016,02,2016
SOFTWARE DEVELOPMENT ENGINEER,136573,SAN FRANCISCO CA,CA,12/30/2016,12,2016,01/16/2017,01,2017
SOFTWARE DEVELOPMENT ENGINEER,142064,PLEASANTON CA,CA,01/28/2016,01,2016,02/08/2016,02,2016
SOFTWARE DEVELOPMENT ENGINEER,143000,PLEASANTON CA,CA,07/01/2016,07,2016,07/11/2016,07,2016
SOFTWARE DEVELOPMENT ENGINEER,143000,PLEASANTON CA,CA,07/06/2016,07,2016,07/18/2016,07,2016
SOFTWARE DEVELOPMENT ENGINEER,146900,SAN FRANCISCO CA,CA,05/27/2015,05,2015,06/09/2015,06,2015
SOFTWARE DEVELOPMENT ENGINEER,150000,SAN FRANCISCO CA,CA,04/04/2014,04,2014,04/17/2014,04,2014
SOFTWARE DEVELOPMENT ENGINEER IN TEST,89898,SAN MATEO CA,CA,07/10/2017,07,2017,08/14/2017,08,2017
SOFTWARE DEVELOPMENT ENGINEER IN TEST,102669,SAN MATEO CA,CA,01/04/2018,01,2018,01/15/2018,01,2018
SOFTWARE DEVELOPMENT ENGINEER IN TEST,102669,SAN MATEO CA,CA,03/05/2018,03,2018,08/28/2018,08,2018
SOFTWARE DEVELOPMENT ENGINEER IN TEST,103064,PLEASANTON CA,CA,08/20/2018,08,2018,09/01/2018,09,2018
SOFTWARE DEVELOPMENT ENGINEER IN TEST,109325,PLEASANTON CA,CA,05/02/2018,05,2018,05/21/2018,05,2018
SOFTWARE DEVELOPMENT ENGINEER IN TEST,109325,PLEASANTON CA,CA,06/04/2018,06,2018,06/14/2018,06,2018
SOFTWARE ENGINEER,102003,PLEASANTON CA,CA,03/08/2017,03,2017,09/05/2017,09,2017
SOFTWARE ENGINEER,102669,SAN FRANCISCO CA,CA,12/15/2017,12,2017,01/05/2018,01,2018
SOFTWARE ENGINEER,109242,PALO ALTO CA,CA,10/29/2018,10,2018,11/01/2018,11,2018
SOFTWARE ENGINEER,109325,PLEASANTON CA,CA,12/13/2017,12,2017,01/08/2018,01,2018
SOFTWARE ENGINEER,109325,PLEASANTON CA,CA,11/03/2017,11,2017,11/13/2017,11,2017
SOFTWARE ENGINEER,109325,PLEASANTON CA,CA,10/31/2017,10,2017,11/13/2017,11,2017
SOFTWARE ENGINEER,109325,PLEASANTON CA,CA,12/13/2017,12,2017,01/08/2018,01,2018
SOFTWARE ENGINEER,109325,PLEASANTON CA,CA,01/16/2018,01,2018,02/05/2018,02,2018
SOFTWARE ENGINEER,109325,PLEASANTON CA,CA,12/04/2017,12,2017,05/11/2018,05,2018
SOFTWARE ENGINEER,109325,PLEASANTON CA,CA,01/10/2018,01,2018,01/29/2018,01,2018
SOFTWARE ENGINEER,113381,SAN MATEO CA,CA,03/02/2017,03,2017,08/27/2017,08,2017
SOFTWARE ENGINEER,120000,PLEASANTON CA,CA,12/09/2014,12,2014,12/13/2014,12,2014
SOFTWARE ENGINEER,125000,PLEASANTON CA,CA,03/11/2014,03,2014,04/07/2014,04,2014
SOFTWARE ENGINEER,130603,SAN MATEO CA,CA,03/02/2017,03,2017,08/31/2017,08,2017
SOFTWARE ENGINEER,131165,PLEASANTON CA,CA,11/27/2017,11,2017,05/25/2018,05,2018
SOFTWARE ENGINEER,132000,PLEASANTON CA,CA,10/01/2015,10,2015,10/12/2015,10,2015
SOFTWARE ENGINEER,135000,PLEASANTON CA,CA,01/07/2014,01,2014,01/20/2014,01,2014
SOFTWARE ENGINEER,140000,PLEASANTON CA,CA,04/03/2014,04,2014,04/21/2014,04,2014
SOFTWARE ENGINEER,152000,PLEASANTON CA,CA,05/05/2015,05,2015,05/25/2015,05,2015
SOFTWARE ENGINEER - UI,120000,PLEASANTON CA,CA,02/04/2016,02,2016,02/08/2016,02,2016
SOFTWARE ENGINEER PERFORMANCE,120000,PLEASANTON CA,CA,12/01/2015,12,2015,12/07/2015,12,2015
SOFTWARE ENGINEERING MANAGER,129501,PLEASANTON CA,CA,10/03/2016,10,2016,10/06/2016,10,2016
SOFTWARE ENGINEERING MANAGER,170000,PLEASANTON CA,CA,01/29/2015,01,2015,02/16/2015,02,2015
SOLUTIONS CONSULTANT,73299,SAN FRANCISCO CA,CA,02/23/2017,02,2017,08/23/2017,08,2017
SR BUSINESS SYSTEMS ANALYST,110000,PLEASANTON CA,CA,03/04/2015,03,2015,05/01/2015,05,2015
SR APPLICATION PERFORMANCE ENGINEER,135000,PLEASANTON CA,CA,08/06/2015,08,2015,08/17/2015,08,2015
SR ASSOCIATE DATA SCIENTIST,68078,PLEASANTON CA,CA,03/08/2017,03,2017,09/03/2017,09,2017
SR ASSOCIATE DATA SCIENTIST,110000,SAN FRANCISCO CA,CA,01/28/2016,01,2016,07/15/2016,07,2016
SR ASSOCIATE IOS ENGINEER,110000,PLEASANTON CA,CA,04/07/2015,04,2015,04/13/2015,04,2015
SR ASSOCIATE PRODUCT MANAGER,90418,PLEASANTON CA,CA,02/25/2015,02,2015,08/25/2015,08,2015
SR ASSOCIATE PRODUCT MANAGER,100000,PLEASANTON CA,CA,07/30/2015,07,2015,08/10/2015,08,2015
SR ASSOCIATE QA ENGINEER,106454,SAN MATEO CA,CA,10/14/2016,10,2016,10/24/2016,10,2016
SR ASSOCIATE SOFTWARE APPLICATION ENGINEER,109325,PLEASANTON CA,CA,03/09/2018,03,2018,09/07/2018,09,2018
SR ASSOCIATE SOFTWARE DEVELOPMENT ENGINEER,110000,PLEASANTON CA,CA,04/14/2015,04,2015,04/22/2015,04,2015
SR ASSOCIATE SOFTWARE ENGINEER,113000,PLEASANTON CA,CA,01/29/2015,01,2015,07/25/2015,07,2015
SR BUSINESS SYSTEMS ANALYST,114400,PLEASANTON CA,CA,10/16/2017,10,2017,10/23/2017,10,2017
SR DATA SCIENTIST,160000,SAN FRANCISCO CA,CA,10/27/2014,10,2014,11/05/2014,11,2014
SR ETL ENGINEER,133000,PLEASANTON CA,CA,10/22/2014,10,2014,11/01/2014,11,2014
SR IOS APPLICATION ENGINEER,125000,PLEASANTON CA,CA,09/22/2015,09,2015,09/28/2015,09,2015
SR MANAGER SOFTWARE DEVELOPMENT ENGINEERING,174316,PLEASANTON CA,CA,11/02/2016,11,2016,03/17/2017,03,2017
SR PERFORMANCE ENGINEER,130000,PLEASANTON CA,CA,10/17/2014,10,2014,10/27/2014,10,2014
SR PRODUCT MANAGER,135000,PLEASANTON CA,CA,07/30/2015,07,2015,08/17/2015,08,2015
SR PRODUCT MANAGER,140000,PLEASANTON CA,CA,10/21/2015,10,2015,10/26/2015,10,2015
SR PRODUCT MANAGER,170000,PLEASANTON CA,CA,05/26/2016,05,2016,06/01/2016,06,2016
SR QUALITY ASSURANCE ENGINEER,127150,SAN MATEO CA,CA,12/15/2016,12,2016,12/26/2016,12,2016
SR SECURITY ENGINEER,100740,PLEASANTON CA,CA,10/05/2016,10,2016,10/15/2016,10,2016
SR SECURITY ENGINEER,148000,PLEASANTON CA,CA,03/01/2016,03,2016,03/07/2016,03,2016
SR SOFTWARE APPLICATION ENGINEER,127000,PLEASANTON CA,CA,05/05/2016,05,2016,10/06/2016,10,2016
SR SOFTWARE APPLICATION ENGINEER,136767,PLEASANTON CA,CA,08/31/2016,08,2016,12/23/2016,12,2016
SR SOFTWARE APPLICATION ENGINEER,145000,PLEASANTON CA,CA,12/10/2015,12,2015,12/14/2015,12,2015
SR SOFTWARE APPLICATION ENGINEER,145000,PLEASANTON CA,CA,08/13/2015,08,2015,08/19/2015,08,2015
SR SOFTWARE APPLICATION ENGINEER,150600,PLEASANTON CA,CA,10/09/2015,10,2015,03/25/2016,03,2016
SR SOFTWARE DEVELOPMENT ENGINEER,102669,SAN FRANCISCO CA,CA,02/26/2018,02,2018,08/25/2018,08,2018
SR SOFTWARE DEVELOPMENT ENGINEER,123358,SAN FRANCISCO CA,CA,04/12/2017,04,2017,05/15/2017,05,2017
SR SOFTWARE DEVELOPMENT ENGINEER,125000,IRVINE CA,CA,10/03/2016,10,2016,10/10/2016,10,2016
SR SOFTWARE DEVELOPMENT ENGINEER,144248,PLEASANTON CA,CA,10/21/2016,10,2016,04/07/2017,04,2017
SR SOFTWARE DEVELOPMENT ENGINEER,147846,SAN MATEO CA,CA,12/15/2016,12,2016,12/26/2016,12,2016
SR SOFTWARE DEVELOPMENT ENGINEER,170000,SAN FRANCISCO CA,CA,11/13/2015,11,2015,11/16/2015,11,2015
SR SOFTWARE ENGINEER,145000,PLEASANTON CA,CA,01/15/2015,01,2015,05/18/2015,05,2015
SR SOFTWARE ENGINEER,145000,PLEASANTON CA,CA,09/24/2015,09,2015,10/24/2015,10,2015
SR SOFTWARE ENGINEER - PERFORMANCE & SCALABILITY,160000,PLEASANTON CA,CA,05/27/2016,05,2016,06/06/2016,06,2016
SR TECHNOLOGY AUDITOR,104291,PLEASANTON CA,CA,07/24/2018,07,2018,08/01/2018,08,2018
SR WEB MARKETING DEVELOPER,118431,PLEASANTON CA,CA,10/05/2016,10,2016,12/01/2016,12,2016
STAFF SOFTWARE ENGINEER,109242,PALO ALTO CA,CA,09/20/2018,09,2018,10/01/2018,10,2018
SUPPORT ANALYST,94141,PLEASANTON CA,CA,12/13/2016,12,2016,03/13/2017,03,2017
SUPPORT ANALYST,100000,PLEASANTON CA,CA,02/24/2014,02,2014,03/14/2014,03,2014
SYSTEMS ENGINEER,88795,PLEASANTON CA,CA,11/02/2016,11,2016,11/14/2016,11,2016
TECHNICAL PRODUCT MANAGER,96366,PLEASANTON CA,CA,01/19/2017,01,2017,02/01/2017,02,2017
TECHNICAL PRODUCT MANAGER,120600,PLEASANTON CA,CA,11/13/2018,11,2018,11/26/2018,11,2018
TECHNICAL PRODUCT MANAGER,133494,PLEASANTON CA,CA,01/23/2018,01,2018,02/06/2018,02,2018
TECHNICAL PRODUCT MANAGER ACCOUNTING DATA PREPARATION,120245,SAN MATEO CA,CA,05/21/2018,05,2018,05/28/2018,05,2018
TECHNICAL WRITER,69264,PLEASANTON CA,CA,03/08/2017,03,2017,09/03/2017,09,2017
TECHNICAL WRITER,98758,PLEASANTON CA,CA,02/28/2018,02,2018,08/27/2018,08,2018
TECHNICAL WRITER,105000,PLEASANTON CA,CA,03/21/2016,03,2016,09/16/2016,09,2016
TECHNICAL WRITER,105000,PLEASANTON CA,CA,10/09/2014,10,2014,10/15/2014,10,2014
TECHNICAL WRITER,108000,PLEASANTON CA,CA,06/17/2016,06,2016,11/07/2016,11,2016
TECHNOLOGY AUDIT MANAGER,150000,PLEASANTON CA,CA,04/13/2016,04,2016,04/25/2016,04,2016
TEST AUTOMATION ENGINEER,105000,SAN FRANCISCO CA,CA,09/26/2014,09,2014,10/02/2014,10,2014
TEST AUTOMATION ENGINEER,107266,PLEASANTON CA,CA,11/02/2016,11,2016,01/10/2017,01,2017
TEST AUTOMATION ENGINEER,110000,PLEASANTON CA,CA,04/08/2016,04,2016,10/01/2016,10,2016
TEST AUTOMATION ENGINEER,110000,PLEASANTON CA,CA,03/10/2015,03,2015,03/18/2015,03,2015
TEST AUTOMATION ENGINEER,115000,PLEASANTON CA,CA,04/23/2015,04,2015,05/11/2015,05,2015
TEST AUTOMATION ENGINEER - ASSETS,110000,PLEASANTON CA,CA,08/01/2014,08,2014,08/25/2014,08,2014
TEST AUTOMATION ENGINEER - HCM BENEFITS & COMPENS,88720,PLEASANTON CA,CA,08/01/2014,08,2014,08/25/2014,08,2014
TEST AUTOMATION ENGINEER - TIME & ABSENCE,110000,PLEASANTON CA,CA,07/14/2015,07,2015,07/20/2015,07,2015
TRANSLATION QA ENGINEER,90000,PLEASANTON CA,CA,03/18/2016,03,2016,09/13/2016,09,2016
UI SOFTWARE ENGINEER,109325,PLEASANTON CA,CA,03/07/2018,03,2018,03/13/2018,03,2018
UX USER EXPERIENCE DESIGNER,117000,SAN FRANCISCO CA,CA,03/31/2014,03,2014,04/14/2014,04,2014
UX ENGINEER,112445,SAN FRANCISCO CA,CA,02/10/2017,02,2017,04/15/2017,04,2017
UX ENGINEER,120000,PLEASANTON CA,CA,04/25/2016,04,2016,05/09/2016,05,2016
WEB SYSTEMS ADMINISTRATOR,88795,PLEASANTON CA,CA,01/06/2017,01,2017,01/19/2017,01,2017
